SUSP_AGE_45-64,VIC_SEX_F,SEASON_Summer,VIC_RACE_WHITE,VIC_RACE_ASIAN / PACIFIC ISLANDER,TIME_PERIOD_Early morning,SEASON_Spring,VIC_RACE_BLACK,TIME_PERIOD_Night,VIC_AGE_65+,SUSP_AGE_65+,SUSP_RACE_BLACK,VIC_AGE_25-44,PREM_TYP_DESC_FREQ,DURATION_STATE
False,False,0,True,False,1,1,False,0,False,False,False,True,0.350873500315723,3
False,False,1,False,False,0,0,False,0,False,False,True,False,0.0025257840454641126,1
False,False,0,False,False,0,0,True,0,False,False,True,False,0.15091559671648075,4
False,True,0,False,False,0,0,True,0,False,False,True,False,0.350873500315723,3
False,True,0,False,False,1,0,True,0,False,False,False,False,0.350873500315723,2
False,True,0,True,False,1,0,False,0,False,False,False,False,0.350873500315723,5
False,False,0,False,False,1,0,False,0,False,False,False,False,0.350873500315723,5
False,False,1,False,False,0,0,False,0,False,False,False,False,0.15091559671648075,3
False,False,1,True,False,0,0,False,0,False,False,False,True,0.350873500315723,1
False,True,0,True,False,0,0,False,0,False,False,False,True,0.350873500315723,5
False,True,0,False,False,0,1,True,0,False,False,False,False,0.16417596295516734,1
False,False,0,False,True,1,1,False,0,False,False,False,False,0.002946748053041465,1
False,False,1,True,False,0,0,False,0,False,False,False,True,0.350873500315723,1
False,True,1,False,False,0,0,True,0,False,False,True,True,0.0545148389812671,1
False,True,0,True,False,0,1,False,1,False,False,False,False,0.350873500315723,1
False,False,0,False,False,0,1,True,0,False,False,False,True,0.350873500315723,1
False,True,1,False,True,0,0,False,0,False,False,False,True,0.03641338665544096,3
False,True,1,True,False,0,0,False,0,False,False,False,True,0.16417596295516734,0
False,True,1,False,False,0,0,False,1,False,False,False,True,0.16417596295516734,1
False,True,1,False,False,0,0,True,0,False,False,True,False,0.16417596295516734,1
False,True,0,False,False,0,0,False,0,False,False,False,False,0.350873500315723,0
False,True,1,False,False,0,0,True,0,False,False,False,True,0.350873500315723,1
False,False,0,False,True,1,1,False,0,False,False,False,False,0.16417596295516734,4
True,False,1,False,False,0,0,False,0,False,False,False,False,0.017470006314460114,1
False,True,1,True,False,0,0,False,0,False,False,False,True,0.16417596295516734,5
False,False,1,False,False,0,0,True,0,True,False,False,False,0.16417596295516734,4
False,True,1,True,False,0,0,False,0,False,False,False,True,0.012418438223531888,3
False,True,1,False,False,0,0,False,0,False,False,False,True,0.16417596295516734,4
False,False,1,False,False,1,0,False,0,False,False,False,False,0.006103978109871606,2
False,True,1,False,False,0,0,False,0,False,False,False,False,0.0008419280151547042,0
False,False,1,False,False,0,0,False,0,False,False,False,False,0.0018943380340980846,1
False,True,1,False,False,0,0,True,0,False,False,False,False,0.012418438223531888,2
False,True,0,False,False,0,1,False,0,False,False,False,True,0.03641338665544096,1
False,True,0,False,False,0,1,False,0,False,False,False,True,0.350873500315723,4
False,True,1,False,False,0,0,False,0,True,False,False,False,0.005262050094716902,3
False,True,0,False,False,0,0,False,0,True,False,False,False,0.012418438223531888,1
False,False,0,False,False,0,1,False,0,False,False,False,False,0.03641338665544096,1
False,False,1,False,False,0,0,False,0,False,False,False,True,0.009261208166701748,2
False,False,1,False,False,0,0,False,0,True,False,False,False,0.0545148389812671,5
False,True,1,False,False,0,0,False,0,False,False,True,True,0.007366870132603663,1
False,False,0,False,True,0,1,False,0,False,False,False,False,0.00484108608713955,1
False,False,1,False,False,0,0,False,0,False,False,False,False,0.029677962534203326,3
False,False,1,False,False,0,0,False,0,False,False,False,False,0.029677962534203326,3
False,True,1,False,False,0,0,False,0,False,False,False,True,0.350873500315723,5
False,False,1,False,True,0,0,False,0,True,False,False,False,0.350873500315723,4
False,True,0,False,False,0,0,False,0,False,False,False,False,0.16417596295516734,5
False,False,1,True,False,0,0,False,1,False,False,False,False,0.16417596295516734,1
False,False,1,True,False,0,0,False,1,False,False,False,False,0.15091559671648075,1
False,True,0,False,False,0,0,False,0,False,False,False,False,0.0012628920227320563,2
False,False,1,False,False,0,0,False,0,False,False,True,False,0.00484108608713955,4
False,True,1,False,True,0,0,False,0,False,False,False,True,0.16417596295516734,5
False,False,0,False,False,1,1,True,0,False,False,False,False,0.350873500315723,3
False,True,1,False,False,0,0,False,0,False,False,False,True,0.011576510208377183,3
False,True,0,False,False,0,1,False,0,False,False,False,False,0.0545148389812671,1
False,False,0,False,False,0,0,True,1,False,False,True,False,0.350873500315723,5
False,False,1,False,True,0,0,False,0,False,False,False,False,0.16417596295516734,4
False,False,0,False,False,0,0,False,0,False,False,False,True,0.012418438223531888,2
True,False,1,False,False,0,0,True,0,False,False,True,True,0.0545148389812671,1
False,True,1,False,False,0,0,True,1,False,False,False,True,0.0545148389812671,2
True,False,0,False,False,0,0,False,0,False,False,True,False,0.015154704272784677,0
False,False,1,False,True,0,0,False,1,False,False,False,True,0.350873500315723,1
False,False,1,False,False,0,0,True,0,False,False,False,True,0.15091559671648075,1
False,True,1,False,False,0,0,False,0,False,False,False,False,0.03641338665544096,1
False,True,1,False,False,0,0,True,1,False,False,False,True,0.15091559671648075,3
True,True,1,False,False,1,0,True,0,False,False,True,True,0.004420122079562197,4
False,False,0,True,False,0,0,False,0,False,False,False,True,0.350873500315723,4
False,False,1,False,False,1,0,False,0,False,True,False,False,0.15091559671648075,3
False,True,0,False,False,0,1,False,0,False,False,False,False,0.012418438223531888,1
False,True,0,False,False,0,1,True,0,False,False,True,False,0.01178699221216586,4
False,False,0,False,False,0,1,True,0,False,False,False,False,0.005262050094716902,1
False,False,1,False,False,0,0,False,0,False,False,True,False,0.03641338665544096,1
False,False,0,False,False,0,1,False,0,False,False,False,True,0.350873500315723,1
False,False,0,False,False,0,1,False,0,False,False,False,False,0.350873500315723,2
False,True,0,True,False,0,1,False,1,True,False,False,False,0.16417596295516734,4
False,False,1,False,False,0,0,False,1,False,False,False,False,0.15091559671648075,1
False,False,1,False,False,0,0,False,1,False,False,False,True,0.029677962534203326,1
False,False,0,False,True,0,0,False,0,False,False,True,True,0.16417596295516734,1
True,True,0,False,False,1,0,False,0,False,False,False,True,0.15091559671648075,1
False,True,1,False,False,0,0,False,0,False,False,False,False,0.350873500315723,1
True,False,1,False,False,0,0,False,0,False,False,True,False,0.15091559671648075,5
False,False,0,True,False,0,1,False,0,False,False,False,True,0.006103978109871606,4
False,False,0,False,False,0,1,False,0,False,False,False,False,0.0016838560303094085,1
False,True,0,True,False,0,0,False,1,False,False,False,False,0.350873500315723,1
False,True,0,True,False,0,1,False,0,False,False,False,True,0.350873500315723,1
False,True,1,False,False,0,0,False,1,False,False,False,False,0.350873500315723,1
False,True,0,True,False,1,0,False,0,True,False,False,False,0.350873500315723,5
False,False,0,False,False,0,1,False,0,False,False,False,False,0.029677962534203326,2
False,True,0,False,False,1,0,True,0,False,False,False,True,0.007366870132603663,1
False,False,1,False,True,0,0,False,0,False,False,False,False,0.350873500315723,1
False,False,1,True,False,0,0,False,0,True,False,False,False,0.16417596295516734,1
False,False,1,True,False,0,0,False,0,False,False,False,False,0.350873500315723,5
False,False,0,False,False,0,0,False,1,False,False,False,True,0.16417596295516734,5
False,True,0,False,False,0,1,True,1,False,False,True,False,0.350873500315723,4
False,True,1,True,False,0,0,False,0,False,False,False,True,0.350873500315723,1
False,False,1,False,False,0,0,True,1,False,False,False,True,0.16417596295516734,1
False,False,1,False,False,0,0,True,1,False,True,True,True,0.350873500315723,5
False,True,0,True,False,0,1,False,0,False,False,False,True,0.012418438223531888,3
False,True,0,False,False,0,1,True,0,False,False,False,False,0.350873500315723,4
False,False,0,False,False,0,0,False,0,False,False,False,True,0.003788676068196169,0
True,True,0,True,False,0,0,False,0,False,False,False,False,0.16417596295516734,1
False,True,1,False,False,1,0,True,0,False,False,False,True,0.350873500315723,1
False,False,0,False,False,0,1,False,0,False,False,False,False,0.15091559671648075,4
False,True,1,False,False,0,0,True,1,False,False,True,False,0.01178699221216586,1
False,True,0,False,False,1,1,False,0,False,False,False,False,0.350873500315723,1
False,False,0,True,False,0,1,False,0,False,False,False,True,0.16417596295516734,4
False,True,0,False,True,0,0,False,1,False,False,False,False,0.350873500315723,5
False,True,1,False,False,0,0,False,0,False,False,True,True,0.011576510208377183,1
False,True,1,True,False,0,0,False,0,False,False,False,False,0.16417596295516734,0
False,False,0,False,True,0,1,False,1,False,False,False,False,0.15091559671648075,1
False,True,0,False,False,0,1,True,0,True,False,False,False,0.350873500315723,3
False,False,1,True,False,0,0,False,0,False,False,True,True,0.350873500315723,0
False,True,1,False,False,0,0,False,0,False,False,False,False,0.0018943380340980846,2
False,False,1,False,False,0,0,False,0,False,False,False,True,0.004420122079562197,1
False,False,1,False,False,0,0,False,1,False,False,False,False,0.350873500315723,1
False,False,0,True,False,0,1,False,0,True,False,False,False,0.15091559671648075,1
False,False,0,False,False,1,1,False,0,False,False,False,False,0.007366870132603663,1
False,False,1,False,False,0,0,True,0,False,False,False,True,0.007366870132603663,1
False,False,0,False,False,0,0,False,0,False,False,False,False,0.003788676068196169,5
False,True,1,False,False,0,0,True,0,False,False,True,True,0.16417596295516734,0
False,True,1,True,False,1,0,False,0,False,False,False,False,0.350873500315723,4
False,True,1,True,False,0,0,False,1,False,False,False,True,0.350873500315723,3
False,True,0,True,False,0,1,False,1,True,False,False,False,0.350873500315723,4
False,False,0,False,False,0,0,False,0,False,False,False,False,0.003578194064407493,4
False,True,0,False,False,1,0,False,0,False,False,False,False,0.02252157440538834,1
False,True,0,True,False,0,0,False,0,False,True,False,True,0.350873500315723,5
False,True,0,False,False,0,1,True,0,False,False,False,False,0.350873500315723,1
False,True,0,True,False,0,1,False,0,False,False,True,True,0.15091559671648075,1
False,True,1,False,False,0,0,True,1,True,False,False,False,0.350873500315723,1
False,True,1,False,False,0,0,True,0,True,False,False,False,0.16417596295516734,4
False,False,0,False,False,0,1,True,1,False,False,False,True,0.15091559671648075,1
False,False,0,True,False,0,0,False,0,False,False,False,True,0.012418438223531888,2
False,False,1,False,False,0,0,False,1,False,False,False,False,0.0545148389812671,5
False,False,0,False,False,0,0,False,1,False,False,True,False,0.03641338665544096,1
True,False,0,False,False,0,1,False,1,False,False,False,False,0.029677962534203326,0
False,False,0,False,False,0,1,True,0,False,False,True,False,0.15091559671648075,1
False,False,0,False,False,0,1,False,1,False,False,False,False,0.0012628920227320563,1
False,False,1,True,False,0,0,False,0,False,False,False,True,0.15091559671648075,2
False,False,1,False,False,0,0,False,0,False,False,True,False,0.03641338665544096,1
False,False,0,False,False,0,1,False,1,False,False,False,False,0.350873500315723,0
False,True,1,False,False,0,0,False,1,False,False,False,True,0.350873500315723,5
False,True,0,True,False,1,1,False,0,False,False,False,False,0.16417596295516734,3
False,True,1,False,False,0,0,True,0,False,False,True,False,0.005262050094716902,0
False,False,1,False,False,0,0,False,0,False,False,False,False,0.004420122079562197,3
False,True,0,False,False,0,1,True,1,False,False,True,False,0.0545148389812671,2
False,True,0,True,False,1,1,False,0,False,False,False,False,0.006103978109871606,1
False,False,1,False,False,1,0,False,0,False,False,False,False,0.15091559671648075,1
True,False,0,False,False,1,1,False,0,False,False,False,True,0.350873500315723,1
False,False,1,False,False,0,0,False,0,False,False,False,False,0.350873500315723,1
False,False,0,False,False,0,0,True,0,False,False,False,False,0.350873500315723,4
True,False,1,False,False,0,0,False,0,False,False,False,True,0.350873500315723,4
False,False,1,False,False,1,0,False,0,True,False,False,False,0.15091559671648075,2
False,False,1,False,False,0,0,False,0,False,False,False,False,0.005262050094716902,1
False,True,1,False,False,0,0,False,1,False,False,False,True,0.350873500315723,2
False,False,1,False,False,0,0,False,0,False,False,False,False,0.350873500315723,4
False,False,0,True,False,0,1,False,0,False,False,False,False,0.350873500315723,4
False,True,0,False,False,1,1,False,0,False,False,False,False,0.16417596295516734,2
False,False,0,False,False,1,1,False,0,False,False,False,False,0.0025257840454641126,4
False,False,0,False,False,0,0,False,1,False,False,False,False,0.0545148389812671,1
False,False,1,False,True,0,0,False,1,False,False,False,True,0.350873500315723,1
False,True,1,False,False,0,0,True,0,False,False,True,False,0.350873500315723,1
False,True,1,False,True,0,0,False,0,False,False,False,True,0.350873500315723,3
True,True,1,False,False,0,0,True,1,False,False,True,False,0.350873500315723,1
False,True,1,False,True,0,0,False,0,False,False,False,True,0.029677962534203326,1
False,False,0,False,False,0,1,False,0,False,False,False,False,0.029677962534203326,4
False,True,1,False,True,0,0,False,0,False,False,False,False,0.350873500315723,1
False,True,1,False,False,0,0,False,0,False,False,False,True,0.350873500315723,1
False,True,1,False,True,0,0,False,0,False,False,False,True,0.02252157440538834,3
True,False,1,False,False,0,0,False,1,False,False,False,True,0.350873500315723,4
False,False,0,True,False,0,1,False,0,False,False,False,True,0.350873500315723,3
True,False,0,False,False,0,0,False,0,False,False,True,False,0.017470006314460114,0
False,True,1,False,False,0,0,True,0,False,False,False,True,0.350873500315723,1
False,False,1,False,False,0,0,True,1,False,False,False,True,0.350873500315723,2
False,False,0,False,False,0,1,False,1,False,False,False,False,0.15091559671648075,1
False,True,1,False,False,0,0,False,0,False,False,False,False,0.15091559671648075,4
False,False,1,False,False,0,0,False,0,False,False,False,True,0.350873500315723,2
False,False,1,True,False,0,0,False,0,False,False,False,False,0.15091559671648075,2
